M0,H,T,Loss
singleESN [A],6,13,3.86779015586871e-05
singleESN [A],6,14,1.751718567548284e-06
singleESN [A],6,15,3.5094394765895435e-05
singleESN [A],6,16,3.2311135059970416e-07
singleESN [A],6,17,5.3080864177895766e-08
singleESN [A],6,18,0.00011716275277977688
singleESN [A],6,19,2.96219482636639e-05
singleESN [A],6,20,1.8193195201419024e-05
singleESN [A],6,21,8.048850268500576e-06
singleESN [A],6,22,6.135692962927801e-07
singleESN [A],6,23,2.352158768708293e-06
singleESN [A],6,24,1.671521437610666e-05
singleESN [A],6,25,3.4288737987901686e-05
singleESN [A],6,26,2.0805869900947555e-06
singleESN [A],6,27,1.8469439674169396e-05
singleESN [A],6,28,1.7523803230740426e-06
singleESN [A],6,29,5.571252754133741e-06
singleESN [A],6,30,6.805443654281739e-06
singleESN [A],6,31,3.0098582254496357e-06
singleESN [A],6,32,2.2852225276196878e-08
singleESN [A],6,33,4.1743481287872325e-06
singleESN [A],6,34,7.989456879601222e-08
singleESN [A],6,35,9.753476513093938e-07
singleESN [A],6,36,6.2950060034066035e-06
singleESN [A],6,37,2.5887759039633194e-05
singleESN [A],6,38,1.8409816337886832e-06
singleESN [A],6,39,3.37606214788193e-07
singleESN [A],7,0,1.0930040946789317e-05
singleESN [A],7,1,5.423590052752138e-06
singleESN [A],7,2,5.352697584528912e-06
singleESN [A],7,3,1.4805038336465583e-07
singleESN [A],7,4,4.555811480649863e-06
singleESN [A],7,5,9.46534661117349e-05
singleESN [A],7,6,3.1282840901282564e-07
singleESN [A],7,7,5.9362104737813425e-05
singleESN [A],7,8,1.4725687268228382e-05
singleESN [A],7,9,6.872839992637044e-07
singleESN [A],7,10,7.66566087636458e-06
singleESN [A],7,11,3.102079570036164e-05
singleESN [A],7,12,3.86779015586871e-05
singleESN [A],7,13,1.751718567548284e-06
singleESN [A],7,14,3.5094394765895435e-05
singleESN [A],7,15,3.2311135059970416e-07
singleESN [A],7,16,5.3080864177895766e-08
singleESN [A],7,17,0.00011716275277977688
singleESN [A],7,18,2.96219482636639e-05
singleESN [A],7,19,1.8193195201419024e-05
singleESN [A],7,20,8.048850268500576e-06
singleESN [A],7,21,6.135692962927801e-07
singleESN [A],7,22,2.352158768708293e-06
singleESN [A],7,23,1.671521437610666e-05
singleESN [A],7,24,3.4288737987901686e-05
singleESN [A],7,25,2.0805869900947555e-06
singleESN [A],7,26,1.8469439674169396e-05
singleESN [A],7,27,1.7523803230740426e-06
singleESN [A],7,28,5.571252754133741e-06
singleESN [A],7,29,6.805443654281739e-06
singleESN [A],7,30,3.0098582254496357e-06
singleESN [A],7,31,2.2852225276196878e-08
singleESN [A],7,32,4.1743481287872325e-06
singleESN [A],7,33,7.989456879601222e-08
singleESN [A],7,34,9.753476513093938e-07
singleESN [A],7,35,6.2950060034066035e-06
singleESN [A],7,36,2.5887759039633194e-05
singleESN [A],7,37,1.8409816337886832e-06
singleESN [A],7,38,3.37606214788193e-07
singleESN [A],7,39,2.3554967800985924e-07
singleESN [B],0,0,8.601857454036953e-05
singleESN [B],0,1,1.0769045726462047e-06
singleESN [B],0,2,0.00012964924438448242
singleESN [B],0,3,0.0006889364512468639
singleESN [B],0,4,0.00025169077803699637
singleESN [B],0,5,4.63378178342557e-05
singleESN [B],0,6,1.233012748485639e-05
singleESN [B],0,7,1.775168105074238e-05
singleESN [B],0,8,5.861349179607402e-06
singleESN [B],0,9,9.33686104478009e-07
singleESN [B],0,10,6.998674614577361e-08
singleESN [B],0,11,6.3239397365418096e-06
singleESN [B],0,12,0.00010054217561439279
singleESN [B],0,13,1.8934276654081397e-07
singleESN [B],0,14,6.139961889546633e-05
singleESN [B],0,15,1.041464960774136e-05
singleESN [B],0,16,2.999966393162873e-07
singleESN [B],0,17,1.0026545723715014e-05
singleESN [B],0,18,2.812262595158346e-05
singleESN [B],0,19,3.1908500269409374e-05
singleESN [B],0,20,9.144244572470712e-07
singleESN [B],0,21,4.130148531580478e-05
singleESN [B],0,22,7.746383956472307e-08
singleESN [B],0,23,1.1228736525919147e-07
singleESN [B],0,24,0.0001457339534869133
singleESN [B],0,25,1.3746739550985308e-05
singleESN [B],0,26,1.0653006778447525e-05
singleESN [B],0,27,1.2516804692861729e-05
singleESN [B],0,28,1.8611982532947654e-08
singleESN [B],0,29,4.744084383686557e-06
singleESN [B],0,30,2.048516177496415e-05
singleESN [B],0,31,4.344182396852005e-05
singleESN [B],0,32,1.02681983239128e-05
singleESN [B],0,33,1.8167261846981913e-05
singleESN [B],0,34,1.9761977902628784e-06
singleESN [B],0,35,5.4321590690332426e-06
singleESN [B],0,36,1.3198330186946457e-05
singleESN [B],0,37,3.2328228004196437e-06
singleESN [B],0,38,1.6990629174391922e-09
singleESN [B],0,39,5.6610763367508935e-06
singleESN [B],1,0,1.77057588318407e-06
singleESN [B],1,1,0.00015245551440558268
singleESN [B],1,2,0.0008533371420945274
singleESN [B],1,3,0.0003539512155776644
singleESN [B],1,4,7.671548583487796e-05
singleESN [B],1,5,1.2180947691730518e-05
singleESN [B],1,6,1.1503119084914611e-05
singleESN [B],1,7,4.975243969024912e-06
singleESN [B],1,8,5.652886073667626e-06
singleESN [B],1,9,1.8231208325569286e-07
singleESN [B],1,10,4.18721810642222e-06
singleESN [B],1,11,9.321396569127897e-05
singleESN [B],1,12,2.2553061797508196e-07
singleESN [B],1,13,5.777207006304125e-05
singleESN [B],1,14,1.5455599593718046e-05
singleESN [B],1,15,9.75755417107476e-07
singleESN [B],1,16,7.163019817341017e-06
singleESN [B],1,17,3.0368863513951273e-05
singleESN [B],1,18,3.721523788737684e-05
singleESN [B],1,19,2.0241351161396407e-06
singleESN [B],1,20,3.391786869738978e-05
singleESN [B],1,21,3.89860424595102e-07
singleESN [B],1,22,1.3208352087648494e-08
singleESN [B],1,23,0.0001152022834482636
singleESN [B],1,24,3.0059002595028838e-05
singleESN [B],1,25,1.8693680366258397e-05
singleESN [B],1,26,7.712642571683728e-06
singleESN [B],1,27,7.253336835975899e-07
singleESN [B],1,28,2.0954885179126113e-06
singleESN [B],1,29,1.6051929194361553e-05
singleESN [B],1,30,3.3488192729161123e-05
singleESN [B],1,31,1.8159684616505591e-06
singleESN [B],1,32,1.8093822525528964e-05
singleESN [B],1,33,1.4526701301037572e-06
singleESN [B],1,34,4.9251959820354686e-06
singleESN [B],1,35,6.098526206583727e-06
singleESN [B],1,36,2.7367348658050334e-06
singleESN [B],1,37,3.991096184378984e-09
singleESN [B],1,38,4.631706066462061e-06
singleESN [B],1,39,1.6566827485142967e-07
singleESN [B],2,0,0.0001543995109673459
singleESN [B],2,1,0.0008537524677216703
singleESN [B],2,2,0.000356456734432
singleESN [B],2,3,7.819339686253288e-05
singleESN [B],2,4,1.248907632737841e-05
singleESN [B],2,5,1.2052982364579523e-05
singleESN [B],2,6,4.738647713738945e-06
