,Mean,DFM [A],DFM [B],singleESN [A] [EW],singleESN [B] [EW],multiESN [A] [EW],multiESN [B] [EW]
25,-0.00671176845511886,-0.0038638196400729,-0.0035241533165104,-0.003929586691799233,-0.0006857937943220045,-0.0013560317464214062,-0.0015434216988231813
26,-0.005466024298922463,-0.0023668312482522,-0.0021136731518760013,-0.0030600429629050723,-0.004898291171606517,-0.003408416594895266,-0.0036919386110577553
27,0.0016915858310505207,0.0026703140409214,0.0038257622334169003,0.0007780608953142244,0.00024933694603085366,0.004367168744358999,0.0015149086039982773
28,-0.001945686240862385,-0.0021658112147396992,-0.0003802625793112996,-0.0005040554794410387,-0.001425163997216242,-0.0006809132384673153,-0.002043360134931834
29,0.00039055954467497305,0.0006673715307971007,0.002011381552333,0.0020971182108317733,-1.02114702174496e-05,-0.0007355782178276515,0.00019080880098823298
30,0.002941480043652901,0.0030848188199332004,0.005300512780547101,0.0034535507466446065,0.001553562429347274,0.0010926818492372468,0.0030237720123067863
31,0.00468015617782056,0.0036889191363226,0.005781566367457599,0.004632825417178696,0.006101240556766715,0.0030705214018104184,0.00452101752795931
32,0.0002219200444139452,0.0005489378340197007,0.002109094523221301,0.00017571597067761978,0.0006220739708154522,-0.0008116379057043887,0.00021107433126211095
33,0.0030749911216127316,0.0021969395996953,0.0032918830041172996,0.0030988892967628375,0.002188923771999494,0.0026808818242575207,0.002890826894810471
34,7.214819931143819e-05,-0.0028450743553569,-0.0007673003137227,-0.001656884491998494,-0.0022152248383198055,0.0007290503220569568,0.0022008298192821513
35,0.0011080490235111824,-0.0017287916883681996,9.204978761790002e-05,-0.0012248251682981048,-0.001232079009945459,0.0002318230118153004,0.0022758358610742288
36,0.0013461637028608225,0.0012902912741275,0.001987614240125,0.0014575197315176217,0.0004357413534373019,0.001499977437483634,0.0035776196699964947
37,0.00045998334887780313,0.0016290734899603995,0.0011357051275226997,-0.0008694762408106467,-0.0014362823556385408,-0.003185895555988607,-0.0001712486690247277
38,-0.0011279230910340764,0.0001538740721260005,-0.0013292469070299998,-0.0011721925576463222,-0.0006402995508751697,-0.0016595070702773258,-0.001089060938595769
39,-0.0033120532988983814,-0.0025085326219791,-0.0033243088534811007,-0.0034941641952494244,-0.004561112338775058,-0.0064542289046021425,-0.0036248209730421936
40,-0.0015220155154791314,0.0003911468488891996,-0.0005091914006545998,-0.0015651560492248445,0.00011403877479227668,-0.0005128339116239966,-0.0003734888184844269
41,-0.0022134869856962336,-0.0023617695260813006,-0.0007217632830121999,-0.002315893998001979,-0.002742418022124939,-0.0023360504737566564,-0.0013320423413681554
42,0.001302511528550974,0.0013004646277424,0.00017717108400810023,0.0012602773371076835,0.0008062735436265272,0.001797244666593003,0.0025777976884733414
43,0.0038702017648566825,0.004608329162055,0.0028024606677693005,0.0037979366219091292,0.0008445249069523367,0.00247825430290318,0.002157311648490855
44,0.00010566426198135252,-0.005878362782648917,-0.004158499265957599,5.915526583184609e-05,-0.005481619628532186,-0.004006654095802069,-0.00391204256432703
45,-0.0018331055446370158,-0.0035825059075782996,-0.0048594708035488,-0.001874385889306252,-0.0016667591555412503,-0.0019421129336518617,-0.0016640909775277376
46,-0.0007511972378361547,-0.0024488792308192007,-0.0040767612025374,-0.0007921092342693574,-0.0008277390428446836,-0.001706028189145209,-0.0014116302517763043
47,0.001406706810894302,-0.0020302744185194,-0.0022078605913282002,0.0013580126678019635,0.00042666587976098163,-0.0003519051194106294,-0.000971417539444791
