M0,H,T,Loss
AR(1),4,1,0.004749603229708469
AR(1),4,2,-0.0019719007068827567
AR(1),4,3,-0.0009957994502204637
AR(1),4,4,0.009590002207123593
AR(1),4,5,-0.007015652621926237
AR(1),4,6,-0.005430082308591521
AR(1),4,7,0.0017108547196185084
AR(1),4,8,-0.002053800098979831
AR(1),4,9,0.0003459331091371894
AR(1),4,10,0.00285797505020092
AR(1),4,11,0.004553993556486535
AR(1),4,12,6.460962898123968e-05
AR(1),4,13,0.0029952592446451094
AR(1),4,14,-5.5140762083863426e-05
AR(1),4,15,0.0010319090129174311
AR(1),4,16,0.00125347365296412
AR(1),4,17,0.0003638619614679652
AR(1),4,18,-0.0012087902979285685
AR(1),4,19,-0.0033660957351384028
AR(1),4,20,-0.0015391132330141886
AR(1),4,21,-0.0022591903856611865
AR(1),4,22,0.0012690894535881247
AR(1),4,23,0.0037798511171847314
AR(1),5,0,0.004725547737278428
AR(1),5,1,-0.0019299957137801083
AR(1),5,2,-0.0010116359929239257
AR(1),5,3,0.009581134725379394
AR(1),5,4,-0.00693596745046716
AR(1),5,5,-0.005472846528333365
AR(1),5,6,0.0016740934884193186
AR(1),5,7,-0.0020437233292436175
AR(1),5,8,0.00033341263978608603
AR(1),5,9,0.002859889506361847
AR(1),5,10,0.004571640528405625
AR(1),5,11,9.377183899879869e-05
AR(1),5,12,0.002996151585259709
AR(1),5,13,-3.65139088197141e-05
AR(1),5,14,0.0010318795377541583
AR(1),5,15,0.0012598240507416631
AR(1),5,16,0.0003717023658922729
AR(1),5,17,-0.0012064163065801485
AR(1),5,18,-0.0033735025746056517
AR(1),5,19,-0.0015601579757417994
AR(1),5,20,-0.0022691242802547274
AR(1),5,21,0.0012547549729582143
AR(1),5,22,0.003787478877648784
AR(1),5,23,-2.938386975935743e-06
AR(1),6,0,-0.0019116127475546588
AR(1),6,1,-0.0010185042219927635
AR(1),6,2,0.009577287968638475
AR(1),6,3,-0.006901601583646151
AR(1),6,4,-0.005490116017006898
AR(1),6,5,0.0016590702416091965
AR(1),6,6,-0.002039659753444282
AR(1),6,7,0.00032837806622637924
AR(1),6,8,0.002860658254531552
AR(1),6,9,0.004578731463813287
AR(1),6,10,0.00010556514984805601
AR(1),6,11,0.002996510637477787
AR(1),6,12,-2.9015924483371223e-05
AR(1),6,13,0.001031867700640691
AR(1),6,14,0.0012623744658790473
AR(1),6,15,0.00037485306695140153
AR(1),6,16,-0.0012054624090023294
AR(1),6,17,-0.0033764775633070947
AR(1),6,18,-0.001568628063598634
AR(1),6,19,-0.0022731243951078966
AR(1),6,20,0.0012489738465386356
AR(1),6,21,0.0037905460413899233
AR(1),6,22,6.661003880136483e-06
AR(1),6,23,-0.001902991659914326
AR(1),7,0,-0.0010214829384604497
AR(1),7,1,0.009575619226841126
AR(1),7,2,-0.006886780597749599
AR(1),7,3,-0.005497089960196922
AR(1),7,4,0.0016529306772541594
AR(1),7,5,-0.0020380210687557156
AR(1),7,6,0.0003263536268689315
AR(1),7,7,0.002860966944675774
AR(1),7,8,0.00458158075519235
AR(1),7,9,0.00011033441050091637
AR(1),7,10,0.0029966551097714354
AR(1),7,11,-2.5997713714715626e-05
AR(1),7,12,0.001031862946900942
AR(1),7,13,0.001263398750908246
AR(1),7,14,0.00037611919005255384
AR(1),7,15,-0.0012050791217634877
AR(1),7,16,-0.0033776724802231217
AR(1),7,17,-0.001572037104480296
AR(1),7,18,-0.002274735134852301
AR(1),7,19,0.0012466423060006823
AR(1),7,20,0.00379177936452052
AR(1),7,21,1.0531342357738768e-05
AR(1),7,22,-0.0019029563630449655
AR(1),7,23,-0.0008078977937733683
MIDAS,0,0,-0.00211245002691912
MIDAS,0,1,0.00399632433680231
MIDAS,0,2,0.0034919766963006056
MIDAS,0,3,0.004903805828623346
MIDAS,0,4,0.0007366774432364907
MIDAS,0,5,0.005946695503986472
MIDAS,0,6,-0.0019744771236344764
MIDAS,0,7,-4.6508985249236155e-05
MIDAS,0,8,0.010931719425480943
MIDAS,0,9,0.000723661921697101
MIDAS,0,10,-0.0044796487570919405
MIDAS,0,11,0.001301342605424972
MIDAS,0,12,-0.0014311678176004297
MIDAS,0,13,-0.0019523723417640376
MIDAS,0,14,0.0017558128343739799
MIDAS,0,15,0.0036571625342124276
