,Mean,AR(1),MIDAS,DFM [A],DFM [B],singleESN [A],singleESN [B],multiESN [A],multiESN [B]
20,0.0015372047184108442,0.0009350926251330428,-0.0003720536079591056,0.0040844422850294,0.0039664128191828005,0.0010290384667891034,0.0008956753423292815,0.00031730601368347433,0.001955028405588125
21,0.0006633744901421434,-4.937516099332365e-05,-0.002315729473765955,0.002535049997479599,0.0023123820922455003,-0.0006041842677726953,-0.00010586442503784325,-0.0027403587451501022,0.001113698515554735
22,-0.0009203502829617559,-0.0012438551272838097,-0.001056285352811965,0.0014388032116378,0.00020646441359280059,-0.001614535651241547,-0.0009862848921794167,-0.002086942612159569,-9.66440742312287e-05
23,-0.0031146419601146566,-0.002732681802872486,-0.004951086206554946,-0.0015737747864276001,-0.002387496488482301,-0.005263997813320678,-0.003989848406840508,-0.005556315179999243,-0.0032481495559287315
24,-0.0013541760811498563,5.22410086452145e-06,-0.0014280314035884376,0.001203716291933,-0.00021381156864400033,-0.0021824071871367427,-0.001229104694086527,-3.126322773689804e-05,-0.0014258540838686705
25,-0.0020591167152207565,-0.0014839102802193822,-0.005949501071204179,-0.0010081237731095006,-0.0026085757910182007,-0.0031727990460536605,-0.002734487558659973,-0.004488690159209804,-0.00297973621886529
26,0.0014374652465203438,0.0023266851729839035,-0.0030219686039562547,0.003994240296652799,0.0037945898956168993,-0.0011020220728059863,-0.0007775749064286783,-0.0009381105451581884,0.0006002634402535751
27,0.004016481670030844,0.003348160639251769,0.001852300836760989,0.006244199130887301,0.005789165651426199,0.0006504143074579105,0.0018457975333757938,-3.1471634860892085e-05,0.0024134749800521086
28,0.0002853079754732441,-0.0015318274554747373,-0.006973247467821886,-0.0016505119126365994,-0.0028013330948726,-0.003798961478316692,-0.004129513549651984,-0.0041586482236702655,-0.0027902227630783316
29,-0.0016525587177948558,-0.0018076550741701353,-0.004079923856501675,-0.0009614821774127993,-0.001609479676491,-0.004236747764767866,-0.0035843589720462796,-0.005685214366954991,-0.002213698744745558
30,-0.0005861852037451565,0.00012193479730150496,-0.0014637451510808768,0.0006221963031812,-0.0005511814314933007,-0.0016372613022798167,-0.001271505041421657,-0.0018488191725678244,-0.0005445503997028754
31,0.0015654062631547437,0.001798513682764842,0.0010783006812360094,0.0030505319026077997,0.0009413568616902001,0.0006064429658070988,0.0008826129596758367,0.0014237366840229686,0.0009852803448158745
